benchmark,task_name,mean,std,all_values
OGBench,antmaze_giant_navigate_singletask_task1_v0,0.7916666666666666,2.0945531212594672,"[0.0, 0.0, 0.0, 0.0, 0.0, 6.333333333333333, 0.0, 0.0]"
OGBench,antmaze_giant_navigate_singletask_task2_v0,23.166666666666668,15.349629021937668,"[40.333333333333336, 51.333333333333336, 15.0, 7.666666666666667, 21.666666666666668, 10.333333333333334, 7.333333333333333, 31.666666666666668]"
OGBench,antmaze_giant_navigate_singletask_task3_v0,0.875,1.0793194872490515,"[2.3333333333333335, 0.0, 0.0, 0.3333333333333333, 0.0, 1.6666666666666667, 2.6666666666666665, 0.0]"
OGBench,antmaze_giant_navigate_singletask_task4_v0,9.916666666666666,10.76226690288291,"[0.0, 20.0, 0.3333333333333333, 0.0, 18.333333333333332, 11.666666666666666, 0.0, 29.0]"
OGBench,antmaze_giant_navigate_singletask_task5_v0,46.91666666666667,25.49441660006712,"[77.0, 72.66666666666667, 45.0, 22.666666666666668, 0.0, 68.66666666666667, 31.333333333333332, 58.0]"
OGBench,antmaze_large_explore_singletask_task1_v0,91.04166666666667,10.927078368286129,"[94.33333333333333, 97.66666666666667, 96.0, 62.333333333333336, 94.66666666666667, 94.0, 96.0, 93.33333333333333]"
OGBench,antmaze_large_explore_singletask_task2_v0,90.75,3.4146335414246463,"[91.33333333333333, 89.66666666666667, 87.0, 96.0, 87.0, 87.0, 94.66666666666667, 93.33333333333333]"
OGBench,antmaze_large_explore_singletask_task3_v0,97.5,0.9428090415820654,"[96.33333333333333, 98.66666666666667, 97.66666666666667, 96.66666666666667, 96.33333333333333, 97.66666666666667, 99.0, 97.66666666666667]"
OGBench,antmaze_large_explore_singletask_task4_v0,89.0,2.943920288775949,"[93.66666666666667, 85.33333333333333, 85.66666666666667, 90.0, 88.66666666666667, 86.0, 90.33333333333333, 92.33333333333333]"
OGBench,antmaze_large_explore_singletask_task5_v0,71.125,32.00040689845469,"[94.33333333333333, 93.66666666666667, 0.0, 91.33333333333333, 63.666666666666664, 90.66666666666667, 92.33333333333333, 43.0]"
OGBench,antmaze_large_navigate_singletask_task1_v0,92.625,1.8290670056373306,"[92.0, 95.66666666666667, 93.0, 92.66666666666667, 89.0, 94.33333333333333, 91.66666666666667, 92.66666666666667]"
OGBench,antmaze_large_navigate_singletask_task2_v0,80.0,10.369560153534856,"[85.0, 83.66666666666667, 53.666666666666664, 88.66666666666667, 87.0, 81.0, 79.33333333333333, 81.66666666666667]"
OGBench,antmaze_large_navigate_singletask_task3_v0,93.5,1.6414763002993484,"[96.0, 91.66666666666667, 94.33333333333333, 92.66666666666667, 94.0, 93.66666666666667, 95.0, 90.66666666666667]"
OGBench,antmaze_large_navigate_singletask_task4_v0,82.29166666666666,15.527249792255907,"[42.0, 90.0, 86.33333333333333, 92.33333333333333, 90.33333333333333, 83.0, 90.0, 84.33333333333333]"
OGBench,antmaze_large_navigate_singletask_task5_v0,92.29166666666666,1.4760824653265299,"[91.66666666666667, 92.33333333333333, 92.33333333333333, 93.66666666666667, 90.0, 94.33333333333333, 93.66666666666667, 90.33333333333333]"
OGBench,antmaze_large_stitch_singletask_task1_v0,71.83333333333333,28.42534080710379,"[8.333333333333334, 95.66666666666667, 95.0, 46.0, 72.33333333333333, 89.0, 89.66666666666667, 78.66666666666667]"
OGBench,antmaze_large_stitch_singletask_task2_v0,25.375,25.280887324002077,"[1.3333333333333333, 52.666666666666664, 0.0, 53.666666666666664, 0.0, 53.333333333333336, 0.0, 42.0]"
OGBench,antmaze_large_stitch_singletask_task3_v0,88.375,3.537252150720637,"[89.33333333333333, 91.33333333333333, 85.66666666666667, 94.33333333333333, 86.33333333333333, 83.33333333333333, 85.33333333333333, 91.33333333333333]"
OGBench,antmaze_large_stitch_singletask_task4_v0,23.666666666666664,24.6322958735072,"[14.333333333333334, 0.0, 38.333333333333336, 32.666666666666664, 2.0, 0.0, 77.33333333333333, 24.666666666666668]"
OGBench,antmaze_large_stitch_singletask_task5_v0,81.45833333333333,7.2032737541882845,"[85.66666666666667, 65.33333333333333, 87.33333333333333, 85.33333333333333, 79.0, 84.33333333333333, 88.33333333333333, 76.33333333333333]"
OGBench,antsoccer_arena_stitch_singletask_task1_v0,53.375,3.489816534496398,"[58.333333333333336, 55.333333333333336, 56.666666666666664, 48.333333333333336, 53.333333333333336, 53.666666666666664, 53.666666666666664, 47.666666666666664]"
OGBench,antsoccer_arena_stitch_singletask_task2_v0,49.083333333333336,8.103068691688492,"[37.0, 57.333333333333336, 56.333333333333336, 52.333333333333336, 48.666666666666664, 34.666666666666664, 51.333333333333336, 55.0]"
OGBench,antsoccer_arena_stitch_singletask_task3_v0,19.291666666666668,2.725586073571048,"[20.666666666666668, 16.666666666666668, 20.333333333333332, 16.333333333333332, 20.333333333333332, 15.333333333333334, 20.666666666666668, 24.0]"
OGBench,antsoccer_arena_stitch_singletask_task4_v0,19.958333333333336,6.358366098648649,"[14.333333333333334, 14.0, 30.0, 17.0, 19.666666666666668, 25.333333333333332, 12.0, 27.333333333333332]"
OGBench,antsoccer_arena_stitch_singletask_task5_v0,1.2083333333333333,0.40611643103370687,"[1.0, 1.3333333333333333, 1.3333333333333333, 0.3333333333333333, 1.6666666666666667, 1.0, 1.6666666666666667, 1.3333333333333333]"
OGBench,cube_double_noisy_singletask_task1_v0,77.08333333333334,8.011710179481032,"[88.33333333333333, 74.0, 75.33333333333333, 68.66666666666667, 82.0, 68.66666666666667, 70.0, 89.66666666666667]"
OGBench,cube_double_noisy_singletask_task2_v0,43.083333333333336,10.473180032826706,"[42.0, 37.333333333333336, 22.0, 42.666666666666664, 57.666666666666664, 38.666666666666664, 51.333333333333336, 53.0]"
OGBench,cube_double_noisy_singletask_task3_v0,26.291666666666668,5.7504528807158595,"[25.0, 29.666666666666668, 13.0, 30.333333333333332, 30.333333333333332, 22.333333333333332, 29.0, 30.666666666666668]"
OGBench,cube_double_noisy_singletask_task4_v0,15.541666666666664,3.922646144859077,"[15.666666666666666, 10.333333333333334, 8.666666666666666, 17.0, 18.0, 20.0, 14.666666666666666, 20.0]"
OGBench,cube_double_noisy_singletask_task5_v0,29.0,7.944250191875325,"[29.666666666666668, 29.333333333333332, 18.333333333333332, 39.333333333333336, 42.333333333333336, 29.0, 20.0, 24.0]"
OGBench,cube_single_noisy_singletask_task1_v0,100.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
OGBench,cube_single_noisy_singletask_task2_v0,99.95833333333334,0.11023963796102304,"[100.0, 100.0, 100.0, 100.0, 99.66666666666667, 100.0, 100.0, 100.0]"
OGBench,cube_single_noisy_singletask_task3_v0,100.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
OGBench,cube_single_noisy_singletask_task4_v0,99.95833333333334,0.11023963796102304,"[99.66666666666667, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
OGBench,cube_single_noisy_singletask_task5_v0,99.95833333333334,0.11023963796102304,"[99.66666666666667, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
OGBench,cube_triple_noisy_singletask_task1_v0,17.5,7.959969290839703,"[17.666666666666668, 32.333333333333336, 11.333333333333334, 8.0, 28.333333333333332, 15.333333333333334, 12.0, 15.0]"
OGBench,cube_triple_noisy_singletask_task2_v0,0.08333333333333333,0.2204792759220492,"[0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
OGBench,cube_triple_noisy_singletask_task3_v0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
OGBench,cube_triple_noisy_singletask_task4_v0,0.041666666666666664,0.1102396379610246,"[0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
OGBench,cube_triple_noisy_singletask_task5_v0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
OGBench,cube_triple_play_singletask_task1_v0,17.166666666666664,7.306770072260991,"[14.666666666666666, 27.666666666666668, 10.666666666666666, 6.0, 22.333333333333332, 10.666666666666666, 25.333333333333332, 20.0]"
OGBench,cube_triple_play_singletask_task2_v0,0.75,0.22047927592204924,"[0.6666666666666666, 1.0, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 1.0, 1.0]"
OGBench,cube_triple_play_singletask_task3_v0,1.2916666666666665,0.6109532624422992,"[0.6666666666666666, 1.3333333333333333, 1.3333333333333333, 1.0, 2.0, 2.3333333333333335, 0.3333333333333333, 1.3333333333333333]"
OGBench,cube_triple_play_singletask_task4_v0,0.29166666666666663,0.3510895738823483,"[0.3333333333333333, 1.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666]"
OGBench,cube_triple_play_singletask_task5_v0,0.125,0.23199018178458422,"[0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0]"
OGBench,humanoidmaze_large_navigate_singletask_task1_v0,19.791666666666664,13.088308502035106,"[26.666666666666668, 31.666666666666668, 33.333333333333336, 2.3333333333333335, 3.6666666666666665, 30.333333333333332, 3.3333333333333335, 27.0]"
OGBench,humanoidmaze_large_navigate_singletask_task2_v0,0.041666666666666664,0.1102396379610246,"[0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
OGBench,humanoidmaze_large_navigate_singletask_task3_v0,8.75,3.999131850233942,"[6.666666666666667, 6.333333333333333, 3.3333333333333335, 16.333333333333332, 5.0, 9.333333333333334, 10.666666666666666, 12.333333333333334]"
OGBench,humanoidmaze_large_navigate_singletask_task4_v0,1.5833333333333333,1.7539637649874324,"[0.3333333333333333, 0.0, 4.666666666666667, 1.6666666666666667, 0.3333333333333333, 1.0, 0.3333333333333333, 4.333333333333333]"
OGBench,humanoidmaze_large_navigate_singletask_task5_v0,2.25,3.9006765794894833,"[0.0, 0.0, 11.666666666666666, 0.0, 5.000000000000001, 0.3333333333333333, 1.0, 0.0]"
OGBench,humanoidmaze_medium_stitch_singletask_task1_v0,48.04166666666667,25.382319688668684,"[40.666666666666664, 60.333333333333336, 67.0, 13.0, 78.66666666666667, 80.0, 16.0, 28.666666666666668]"
OGBench,humanoidmaze_medium_stitch_singletask_task2_v0,87.45833333333334,3.7041174537413264,"[86.0, 90.0, 88.0, 90.66666666666667, 83.33333333333333, 82.33333333333333, 94.0, 85.33333333333333]"
OGBench,humanoidmaze_medium_stitch_singletask_task3_v0,85.375,17.76109786083682,"[95.66666666666667, 92.33333333333333, 81.66666666666667, 94.66666666666667, 91.33333333333333, 94.66666666666667, 93.0, 39.666666666666664]"
OGBench,humanoidmaze_medium_stitch_singletask_task4_v0,0.8333333333333334,0.8498365855987975,"[0.6666666666666666, 0.6666666666666666, 0.0, 2.3333333333333335, 0.0, 2.0, 1.0, 0.0]"
OGBench,humanoidmaze_medium_stitch_singletask_task5_v0,94.125,2.510740815863804,"[92.33333333333333, 99.33333333333333, 93.0, 95.33333333333333, 96.0, 91.66666666666667, 94.0, 91.33333333333333]"
OGBench,puzzle_4x4_noisy_singletask_task1_v0,41.041666666666664,3.8421547050812235,"[45.666666666666664, 40.0, 40.0, 35.666666666666664, 39.0, 42.333333333333336, 37.666666666666664, 48.0]"
OGBench,puzzle_4x4_noisy_singletask_task2_v0,5.875,1.731549562931679,"[6.0, 4.0, 8.0, 7.666666666666667, 8.0, 4.666666666666667, 3.3333333333333335, 5.333333333333333]"
OGBench,puzzle_4x4_noisy_singletask_task3_v0,20.833333333333336,2.7436796055257218,"[22.333333333333332, 23.333333333333332, 21.0, 22.666666666666668, 14.666666666666666, 21.666666666666668, 22.666666666666668, 18.333333333333332]"
OGBench,puzzle_4x4_noisy_singletask_task4_v0,6.458333333333334,1.6493896177407907,"[8.0, 9.333333333333334, 5.666666666666667, 8.0, 4.333333333333333, 6.0, 5.333333333333333, 5.0]"
OGBench,puzzle_4x4_noisy_singletask_task5_v0,3.6666666666666665,1.6914819275153699,"[7.666666666666667, 2.3333333333333335, 4.333333333333333, 4.0, 2.6666666666666665, 2.3333333333333335, 3.6666666666666665, 2.3333333333333335]"
OGBench,scene_noisy_singletask_task1_v0,100.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
OGBench,scene_noisy_singletask_task2_v0,87.375,3.7097375618469006,"[87.66666666666667, 89.33333333333333, 87.33333333333333, 86.33333333333333, 86.0, 90.0, 93.0, 79.33333333333333]"
OGBench,scene_noisy_singletask_task3_v0,94.375,3.6569473456544173,"[98.0, 98.33333333333333, 97.66666666666667, 92.0, 96.0, 93.66666666666667, 87.0, 92.33333333333333]"
OGBench,scene_noisy_singletask_task4_v0,14.75,4.581817931297091,"[17.333333333333332, 13.0, 19.0, 12.666666666666666, 5.666666666666667, 14.0, 22.0, 14.333333333333334]"
OGBench,scene_noisy_singletask_task5_v0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Minari,D4RL_door_cloned_v2,0.4229819036375857,0.23135465613876743,"[0.4109398637267948, 0.25389418346634096, 0.22001862747099993, 0.7870341085937566, 0.31530643138569536, 0.8313431634540545, 0.21940467663236862, 0.3459141743706745]"
Minari,D4RL_door_expert_v2,101.99119804416839,0.8820210716439302,"[101.73340348709408, 102.72271676118014, 102.01696184711722, 99.89816295512132, 102.4531663137599, 102.86497497535233, 101.78059914078884, 102.45959887293334]"
Minari,D4RL_door_human_v2,1.0914105165076466,0.5247817428211459,"[0.9876322981784332, 0.8061604349496803, 0.43378389978814974, 1.6903165286591895, 2.1742082135533116, 0.9638255169453854, 0.8031838429137209, 0.8721733970733024]"
Minari,D4RL_hammer_cloned_v2,0.9711836337596298,0.649881213254211,"[1.3763195447497774, 0.5796428993985993, 0.6861164056118164, 0.4457857244692433, 1.0496460454446253, 0.5211446029159225, 2.5074295089767653, 0.6033843385102893]"
Minari,D4RL_hammer_expert_v2,121.22355966824755,4.155003690970552,"[123.14244355735491, 118.0814900869269, 119.66053320992086, 127.81994575549942, 113.27437439326043, 124.49220949915683, 120.18395487978407, 123.13352596407692]"
Minari,D4RL_hammer_human_v2,2.9611804683733967,0.8484099861133881,"[2.0331279849517556, 3.4058171366779697, 3.9696653740332253, 3.239004487591135, 3.150173404348916, 1.7616628501503147, 4.091901456105442, 2.038091053128415]"
Minari,D4RL_pen_cloned_v2,50.394518532951714,3.8322526260927354,"[53.41658890756036, 51.54785821049931, 52.82754466055126, 45.557286256486115, 54.72046516771143, 53.23217632944856, 48.27511686591669, 43.57911186544003]"
Minari,D4RL_pen_expert_v2,92.71572161593893,6.199399476915154,"[102.51070892660914, 98.25057285576125, 94.02305477465137, 83.93892835371997, 88.86681951042004, 83.98658857197738, 95.11264772242414, 95.03645221194816]"
Minari,D4RL_pen_human_v2,11.534203678900464,4.9054320943363035,"[5.242008283540421, 13.554922696106814, 3.850719029140469, 12.087673750842411, 9.166336203637899, 19.103621898150454, 12.715020239807604, 16.553327329977634]"
Minari,D4RL_relocate_cloned_v2,0.009088149576052402,0.016250536607137423,"[-0.009948846407755717, -0.0030556101988522557, -0.015325376142100037, 0.03544127650115816, 0.014970680231646058, 0.010508558338137535, 0.015874584774883974, 0.02423992951130149]"
Minari,D4RL_relocate_expert_v2,103.68480602439388,1.242197820307244,"[103.39362154680913, 102.51274125543294, 102.61222830630608, 106.22358236728877, 104.77731928410887, 104.16440571843937, 102.33776653362679, 103.45678318313902]"
Minari,D4RL_relocate_human_v2,-0.02596419377460772,0.040172140228652495,"[0.024454888760704962, -0.07600899937286401, -0.030456022240625887, 0.053685869494813306, -0.04049392111187493, -0.04265779869024333, -0.051866458566893245, -0.04437110846987867]"
Minari,mujoco_halfcheetah_expert_v0,134.14202162435234,2.2517826228967337,"[130.36609759974402, 136.40926190576903, 135.50353685393682, 135.18654857693016, 130.61524648773963, 135.37988999651589, 133.55662552210163, 136.11896605208167]"
Minari,mujoco_halfcheetah_medium_v0,100.16872127431107,6.679073764131985,"[109.73644478062383, 99.20022774653597, 87.3435613555291, 104.88059020452754, 104.50523310520248, 102.09406362330924, 92.7676775690639, 100.82197180969649]"
